cap, target num: 0, total attack num: 19
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 7, total attack num: 8
cls, target num: 0, total attack num: 10
cap, target num: 0, total attack num: 19
vqa, target num: 0, total attack num: 9
vqa_specific, target num: 2, total attack num: 8
cls, target num: 0, total attack num: 10
cap, target num: 0, total attack num: 19
vqa, target num: 0, total attack num: 4
vqa_specific, target num: 6, total attack num: 10
cls, target num: 0, total attack num: 10
cap, target num: 0, total attack num: 19
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 2, total attack num: 6
cls, target num: 0, total attack num: 10
cap, target num: 0, total attack num: 19
vqa, target num: 0, total attack num: 8
vqa_specific, target num: 1, total attack num: 8
cls, target num: 0, total attack num: 10
cap, target num: 0, total attack num: 19
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 5, total attack num: 6
cls, target num: 0, total attack num: 10
cap, target num: 0, total attack num: 19
