vqa, target num: 0, total attack num: 2
vqa_specific, target num: 0, total attack num: 5
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 0, total attack num: 4
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 5
vqa_specific, target num: 0, total attack num: 4
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 3
vqa_specific, target num: 0, total attack num: 7
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 7
vqa_specific, target num: 0, total attack num: 4
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 0, total attack num: 7
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 3
vqa_specific, target num: 0, total attack num: 4
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 3
vqa_specific, target num: 0, total attack num: 9
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 5
vqa_specific, target num: 0, total attack num: 4
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 3
vqa_specific, target num: 0, total attack num: 6
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 0, total attack num: 7
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 5
vqa_specific, target num: 0, total attack num: 7
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 0, total attack num: 5
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 4
vqa_specific, target num: 0, total attack num: 6
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 3
vqa_specific, target num: 0, total attack num: 6
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 1
vqa_specific, target num: 0, total attack num: 3
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 6
vqa_specific, target num: 0, total attack num: 6
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 4
vqa_specific, target num: 0, total attack num: 2
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
vqa, target num: 0, total attack num: 7
vqa_specific, target num: 0, total attack num: 1
cls, target num: 0, total attack num: 11
cap, target num: 0, total attack num: 14
